outcome,location_id,location_city_name,breeze_brand,total_vpd,lube_bays,repair_bays,lof_cpd,sscw_wpd,ecw_wpd,fcw_wpd,ibacw_wpd,crw_tnl_wpd,lat_sj,latitude_input_data_x,long_sj,longitude_input_data_x,number_miles_to_closest_oc_loc_sj,brand_sub_format,opportunity_name,opportunity_id,traffic,sitewise_batch,acq_stage,co_located_w_lube,co_located_w_car_wash,co_located_w_repair,nearest_streetlight_day_part_aadt_5_mi,x2024_estimate_5_mi,x2029_projection_5_mi,state_abb,city,street_number,city_state,zcta_code
acquire,ZOR7ZYKkXe4SIppvQfc83a,AutoLube Express Oil Change - Roseville,OC,71,3,NA,71,0,0,0,0,0,38.753174,38.753174,-121.2609986,-121.2609986,NA,OC,Oil Changers 961-964 (TTL Auto - Sacramento),1d6HGjfFVj4SUC_8pBKl35,NA,Sitewise_Batch_01,20 Closed,NA,NA,NA,6155,271715.44620406,279979.35638739,CA,Roseville,330 N Sunrise Ave,"Roseville city, CA",95661
pass,yJOkDvxUUI4Z6DNrbz56g4,Mahaffey's Quick Lube - Mt Vernon,OC,15,NA,NA,15,NA,NA,NA,NA,0,37.3581559,37.3581559,-84.3628922,-84.3628922,NA,OC,Mahaffey's Quick Lube - Mt Vernon,O56YByvtea45q-AcEbkX18,NA,Sitewise_Batch_01,01.1 Lead Low SMP,NA,NA,NA,5771,8572.69217510283,8556.903255415,KY,Mt Vernon,431 Jerri Ln,"Mt Vernon plc, KY",40456
pass,VZH4CRTLtp4PivyXnKs9G3,Nampa Quick Lube - Nampa,OC,20,NA,NA,20,NA,NA,NA,NA,0,43.5931811,43.5931811,-116.5201457,-116.5201457,NA,OC,Nampa QL - Nampa,uZQLXDYNig4LQ95-A3Wsr4,NA,Sitewise_Batch_01,04 Qualified Opportunity,NA,NA,NA,13914,139559.061267781,167744.446683732,ID,Nampa,4109 Garrity Blvd,"Nampa city, ID",83687
pass,pCFPdcEETI486rEVRw78I1,Speed Lube - St. George,OC+R,24,NA,NA,24,NA,NA,NA,NA,0,37.0960952,37.0960952,-113.5874277,-113.5874277,NA,OC & R,Speed Lube Oil Change - St George,X2E3uq4I3i4JeXQrCxUdS2,NA,Sitewise_Batch_01,04 Qualified Opportunity,NA,NA,NA,11958,118680.689632836,135038.76320928,UT,St. George,704 S Bluff St,"St. George city, UT",84770
pass,U36oejWyBZ46mM6pEb9Rae,Speed Lube - St. George,OC+R,31,NA,NA,31,NA,NA,NA,NA,0,37.1147352,37.1147352,-113.5480604,-113.5480604,NA,OC & R,Speed Lube Oil Change - St George,X2E3uq4I3i4JeXQrCxUdS2,NA,Sitewise_Batch_01,04 Qualified Opportunity,NA,NA,NA,11423,124773.998967399,146350.72016548,UT,St. George,435 N 1680 E #1,"St. George city, UT",84790
pass,WP_Odi91XI496gFt9dDh7b,SUNNYSKYS SMOG INC- FRESNO - Fresno,OC,14,NA,NA,14,NA,NA,NA,NA,0,36.8320751,36.8320751,-119.7898105,-119.7898105,NA,OC,Sunny Sky Smog - Fresno,whXSowpnqU47y3eSfYwTX0,NA,Sitewise_Batch_01,04 Qualified Opportunity,NA,NA,NA,13045,328863.798925194,338971.230251123,CA,Fresno,6504 N Blackstone Ave,"Fresno city, CA",93710
pass,fNfg283HRm4aQKqJDcrUM6,Valvoline Express Care - Fresno,OC,17,NA,NA,17,NA,NA,NA,NA,0,36.8339528,36.8339528,-119.8801245,-119.8801245,NA,OC,Sunny Sky Smog - Fresno,whXSowpnqU47y3eSfYwTX0,NA,Sitewise_Batch_01,04 Qualified Opportunity,NA,NA,NA,1607,177935.988712164,186451.876554488,CA,Fresno,6645 N Milburn Ave,"Fresno city, CA",93722
pass,mn3L6C_Bns4uIWaLze8gsc,Kwik Kar Amarillo - Bear Auto,OC+R,10,NA,NA,10,NA,NA,NA,NA,0,35.1843193,35.1843193,-101.8127654,-101.8127654,NA,OC & R,Kwik Kar - Amarillo,ZsktMmeT9S46AXQ794ecg6,NA,Sitewise_Batch_01,00 Dead,NA,NA,NA,6744,131135.97791757,132513.486934444,TX,Amarillo,2801 S Osage St,"Amarillo, TX 79103",79103
pass,bsEMyRANMx4EiTVtifE4V5,Kwik Kar Amarillo - Coulter,OC+R,40,NA,NA,40,NA,NA,NA,NA,0,35.1624502,35.1624502,-101.9207706,-101.9207706,NA,OC & R,Kwik Kar - Amarillo,ZsktMmeT9S46AXQ794ecg6,NA,Sitewise_Batch_01,00 Dead,NA,NA,NA,12338,137221.505267377,141265.213395925,TX,Amarillo,4400 Coulter St S,"Amarillo city, TX",79109
pass,8XtLr83dkQ41ADUVk15CIf,Kwik Kar Amarillo - Western,OC+R,47,NA,NA,47,NA,NA,NA,NA,0,35.1839114,35.1839114,-101.8834179,-101.8834179,NA,OC & R,Kwik Kar - Amarillo,ZsktMmeT9S46AXQ794ecg6,NA,Sitewise_Batch_01,00 Dead,NA,NA,NA,9173,163720.365424114,167658.127262136,TX,Amarillo,2831 S Western St,"Amarillo city, TX",79109
acquire,qWEKWAiBfA4Tu4uAcfCDw5,EZ Quick Lube LLC - Excelsior Springs,OC,28,3,1,28,0,0,0,0,0,39.3396827,39.3396827,-94.2442576,-94.2442576,NA,OC,Oil Changers 981-982 (EZ Quick Lube LLC - Smithville),_YDR87j3_g4lMhsgLhzhW7,NA,Sitewise_Batch_01,19 Post Close,NA,NA,NA,954,16680.7524623674,17534.5758213428,MO,Excelsior Springs,1454 Kearney Rd,"Excelsior Springs, MO",64024
acquire,llVhErDlMs4NAFXSKxZnWe,EZ Quick Lube LLC - Smithville,OC,24,2,NA,24,0,0,0,0,0,39.3691026,39.3691026,-94.5811215,-94.5811215,NA,OC,Oil Changers 981-982 (EZ Quick Lube LLC - Smithville),_YDR87j3_g4lMhsgLhzhW7,NA,Sitewise_Batch_01,19 Post Close,NA,NA,NA,3186,18688.9814944603,20859.1311473098,MO,Smithville,106 State Rte 92,"Smithville city, MO",64089
acquire,srIZvhb-ba4GEq2kodTYIb,Four Corners Lube - Lincoln,OC,24,3,1,24,0,0,0,0,0,40.157454,40.157454,-89.3877602,-89.3877602,NA,OC,Four Corners Lube - Lincoln,n9iGGgZlve48E0gmv86o20,NA,Sitewise_Batch_01,19 Post Close,NA,NA,NA,5737,17730.3374751299,17827.4123797232,IL,Lincoln,1101 Woodlawn Rd,"Lincoln city, IL",62656
acquire,XAtXhwCfZO4gyVqoS7nth2,Hutch's Car Wash & Quik Lube - Reno,OC,29,NA,NA,29,0,0,0,0,0,#N/A,39.4781282,#N/A,-119.7915668,NA,OC & WS,Oil Changers 965 (Hutch's CW & QL - Reno),BX9aeEWQrJ4PUNWiSDA268,NA,Sitewise_Batch_01,20 Closed,NA,NA,NA,5261,191688.902126058,192340.67888331,NV,Reno,6355 S McCarran Blvd,"Reno city, NV",89509
pass,ssnhRwstnc4vA9kXp7HHx9,Mobile 1 Lube Express - Garden City,OC,13,NA,NA,13,NA,NA,NA,NA,0,43.6481948,43.6481948,-116.2788248,-116.2788248,NA,OC,Mobil 1 Lube Express - Garden City,la1ze12JiT4wAvE6F-pBF0,NA,Sitewise_Batch_01,04 Qualified Opportunity,NA,NA,NA,16229,214157.667273661,236678.93305943,ID,Garden City,5775 W Chinden Blvd.,"Garden City, ID",83714
pass,JidkiiisWU4mMGnIcbpVj1,Mobil 1 Lube Express Chinden - Garden City,OC,40,NA,NA,40,NA,NA,NA,NA,0,43.655372,43.655372,-116.2984297,-116.2984297,NA,OC,Mobil 1 Lube Express - Garden City,la1ze12JiT4wAvE6F-pBF0,NA,Sitewise_Batch_01,04 Qualified Opportunity,NA,NA,NA,12709,212458.811743574,238293.996763919,ID,Garden City,9275 W Chinden Blvd,"Garden Valley CDP, ID",83714
pass,sgIdfh5NSk41Msedk0tJda,Victory Lane Quick Oil Change (Lake Havasu City) - Lake Havasu City,NA,20,NA,NA,20,NA,NA,NA,NA,0,34.4536804,34.4536804,-114.2651729,-114.2651729,NA,NA,Victory Lane Quick OC - Michigan,3aFRA6nk2U4rqQXjv0ruI9,NA,Sitewise_Batch_01,04 Qualified Opportunity,NA,NA,NA,2777,48816.8233601336,51128.6262803246,AZ,Lake Havasu City,1731 McCulloch Blvd S,"Lake of the Woods CDP, AZ",86406
pass,KkVN5vKLdy4kUCREpFvNta,Victory Lane Quick Oil Change (Winchester) - Winchester,NA,20,NA,NA,20,NA,NA,NA,NA,0,39.1589321,39.1589321,-78.1863452,-78.1863452,NA,NA,Victory Lane Quick OC - Michigan,3aFRA6nk2U4rqQXjv0ruI9,NA,Sitewise_Batch_01,04 Qualified Opportunity,NA,NA,NA,8190,78193.9951496035,82871.6608245404,VA,Winchester,2425 Valley Ave,"Winchester city, VA",22601
pass,YEbsWEhJ8O4JQ_MZBGzt-3,Famous Quick Lube - Fernandina Beach,NA,7,NA,NA,7,NA,NA,NA,NA,0,30.6468658,30.6468658,-81.4598906,-81.4598906,NA,NA,Famous QL - Jacksonville,I7crmsD3yD4QaK_urjF1L4,NA,Sitewise_Batch_01,04 Qualified Opportunity,NA,NA,NA,6999,34547.9042715773,36246.8586429774,FL,Fernandina Beach,1675 S 8th St,"Fernandina Beach city, FL",32034
pass,h__7ztO2nw4Eu0qAT1_jI1,Famous Quick Lube - Jacksonville,NA,18,NA,NA,18,NA,NA,NA,NA,0,30.2943076,30.2943076,-81.6022165,-81.6022165,NA,NA,Famous QL - Jacksonville,I7crmsD3yD4QaK_urjF1L4,NA,Sitewise_Batch_01,04 Qualified Opportunity,NA,NA,NA,15583,217890.49608954001,218595.291192309,FL,Jacksonville,3212 University Blvd S,"Jacksonville city, FL",32216
pass,ms8LCn6eRc4lQiyFCw431f,Famous Quick Lube - Jacksonville,NA,13,NA,NA,13,NA,NA,NA,NA,0,30.2761822,30.2761822,-81.6038864,-81.6038864,NA,NA,Famous QL - Jacksonville,I7crmsD3yD4QaK_urjF1L4,NA,Sitewise_Batch_01,04 Qualified Opportunity,NA,NA,NA,12428,195703.517838095,198976.273105717,FL,Jacksonville,5930 University Blvd W,"Jacksonville city, FL",32216
pass,_n8Qe17bJE4dUwfn4LW7te,Famous Quick Lube - Jacksonville,NA,15,NA,NA,15,NA,NA,NA,NA,0,30.2746968,30.2746968,-81.5597698,-81.5597698,NA,NA,Famous QL - Jacksonville,I7crmsD3yD4QaK_urjF1L4,NA,Sitewise_Batch_01,04 Qualified Opportunity,NA,NA,NA,2978,234711.361698717,242420.750061182,FL,Jacksonville,4020 Southside Blvd,"Jacksonville city, FL",32216
pass,6E-j51W90542q90eTqVI62,Famous Quick Lube - Jacksonville,NA,10,NA,NA,10,NA,NA,NA,NA,0,30.2588491,30.2588491,-81.6257624,-81.6257624,NA,NA,Famous QL - Jacksonville,I7crmsD3yD4QaK_urjF1L4,NA,Sitewise_Batch_01,04 Qualified Opportunity,NA,NA,NA,7437,166896.756587628,168982.229218233,FL,Jacksonville,6135 St Augustine Rd,"Jacksonville city, FL",32217
pass,bTdCl5p0pz4lUhY57HFjeb,Famous Quick Lube - Jacksonville,NA,29,NA,NA,29,NA,NA,NA,NA,0,30.2063923,30.2063923,-81.5783375,-81.5783375,NA,NA,Famous QL - Jacksonville,I7crmsD3yD4QaK_urjF1L4,NA,Sitewise_Batch_01,04 Qualified Opportunity,NA,NA,NA,5581,188684.620777465,198007.978073429,FL,Jacksonville,5295 Sunbeam Rd,"Jacksonville city, FL",32256
pass,zdEf-mzp_64FY50fbicrVa,Famous Quick Lube - Jacksonville,NA,5,NA,NA,5,NA,NA,NA,NA,0,30.1978389,30.1978389,-81.6216453,-81.6216453,NA,NA,Famous QL - Jacksonville,I7crmsD3yD4QaK_urjF1L4,NA,Sitewise_Batch_01,04 Qualified Opportunity,NA,NA,NA,20355,145925.895597397,149397.348403772,FL,Jacksonville,9902 San Jose Blvd,"Jacksonville city, FL",32257
pass,SyipNKb1yp42AA1e7igcMa,Famous Quick Lube - Jacksonville,NA,21,NA,NA,21,NA,NA,NA,NA,0,30.3528108,30.3528108,-81.5774482,-81.5774482,NA,NA,Famous QL - Jacksonville,I7crmsD3yD4QaK_urjF1L4,NA,Sitewise_Batch_01,04 Qualified Opportunity,NA,NA,NA,3742,172368.896284776,169922.608747647,FL,Jacksonville,2837 Townsend Blvd,"Jacksonville city, FL",32277
pass,XKvEbPGy1l4RiJAi5uwQPc,Famous Quick Lube - Jacksonville Beach,NA,9,NA,NA,9,NA,NA,NA,NA,0,30.2885674,30.2885674,-81.4038906,-81.4038906,NA,NA,Famous QL - Jacksonville,I7crmsD3yD4QaK_urjF1L4,NA,Sitewise_Batch_01,04 Qualified Opportunity,NA,NA,NA,12579,122227.657918248,120809.158205011,FL,Jacksonville Beach,1281 Beach Blvd,"Jacksonville city, FL",32250
pass,_HYe0s2IOn42mHMWSJ6rha,Famous Quick Lube - Orange Park,NA,20,NA,NA,20,NA,NA,NA,NA,0,30.150482,30.150482,-81.7539347,-81.7539347,NA,NA,Famous QL - Jacksonville,I7crmsD3yD4QaK_urjF1L4,NA,Sitewise_Batch_01,04 Qualified Opportunity,NA,NA,NA,25070,148433.048857764,151328.322644447,FL,Orange Park,634 Blanding Blvd,"Orange Park town, FL",32073
pass,S6Gh-ZrNNB4TaggMJL_b81,Famous Quick Lube - Orange Park,NA,19,NA,NA,19,NA,NA,NA,NA,0,30.1775241,30.1775241,-81.7012709,-81.7012709,NA,NA,Famous QL - Jacksonville,I7crmsD3yD4QaK_urjF1L4,NA,Sitewise_Batch_01,04 Qualified Opportunity,NA,NA,NA,31303,115696.937879079,115261.822790887,FL,Orange Park,1005 Park Ave,"Orange Park town, FL",32073
